epoch,train_total_loss,train_heatmap_loss,train_coordinate_loss,train_structure_loss,train_adjacent_loss,train_pair_loss,train_order_loss,train_class_loss,mean_error_px,median_error_px,p95_error_px,mean_error_image_diag_pct,pck_0.5pct_image_diag,pck_1pct_image_diag,pck_2pct_image_diag,class_accuracy,backbone_lr,head_lr,seconds
1,6.406661167931591,5.256073416212036,0.10186536127905418,0.03567500744719763,0.051766904343878734,0.027423590495864493,0.007822388689037662,0.6058408637474136,180.99055666766535,109.8395004272461,645.5513732910144,10.734399345682306,0.0020271792176589833,0.0074329904647496055,0.0350626923943239,0.7146932952924394,9.2e-05,0.00022999999999999998,46.18452563509345
2,3.184979293119178,2.5841918429134583,0.05009331772233734,0.025953725567233257,0.03553396173796562,0.02269978773055511,0.006884040722738061,0.4794679641045344,63.070005182883065,27.12706184387207,256.46724548339813,3.3488879486314476,0.045498911329679405,0.15902094751858248,0.41091673549065244,0.81169757489301,0.00012800000000000002,0.00032,44.280314926058054
3,1.1681625978705894,0.9927564938241353,0.014196544438521053,0.007335722271570271,0.010967814162172176,0.005865066853427404,0.0004614755880525786,0.18769218099129997,28.25392571629664,7.6962690353393555,139.52481384277317,1.3497222328492324,0.3699226668668819,0.6240708761919063,0.8026878894811923,0.9985734664764622,0.000164,0.00041,43.92513283714652
4,0.6245062040061734,0.5521845052795085,0.006320141102843103,0.003374039815807686,0.005127936834800634,0.002632103535143995,0.00010220147989126277,0.023722089363386586,17.050812370766227,3.9322633743286133,86.19084777832022,0.79063978732989,0.6221938583977776,0.8061416022223891,0.9022449132817779,0.9985734664764622,0.0002,0.0005,44.22192271053791
5,0.4542406218743765,0.40641720845214335,0.0042056942518911775,0.002347551235713192,0.0034879957498640756,0.001978444395710053,5.0100104973853826e-05,0.010713638655661181,13.19362642020222,3.1460585594177246,62.749039840698146,0.610677328289939,0.7199489451159997,0.8662812523462723,0.9373076056761018,0.9985734664764622,0.0002,0.0005,44.906287990510464
6,0.32799998436594757,0.29800861435882736,0.002636539006432198,0.0015899964822204532,0.0022926111558219087,0.001464338343230157,2.1946944354650474e-05,0.004459786890895976,10.746582581560322,3.062856435775757,44.30810928344716,0.5177661515593003,0.7601922066221187,0.9039717696523764,0.9593813349350552,0.9985734664764622,0.00019994694855437418,0.0004998673713859354,44.55033378303051
7,0.3062920734434684,0.2784699874785682,0.0024535431022190118,0.0014361668153563953,0.0020826538904817776,0.001306175687323837,1.4935716175888884e-05,0.004143170577210306,9.357754471709367,2.71836519241333,36.707661056518546,0.45340589059325354,0.7975824010811623,0.9231173511524889,0.965387791876267,0.9985734664764622,0.00019978785346919957,0.0004994696336729989,43.57433211803436
8,0.2598872328041967,0.237802957085254,0.001922938469625151,0.0012758979335384891,0.0017989570939659033,0.0012534033364032106,1.991887663485771e-06,0.0030309077144294425,8.461305666038738,2.590588092803955,31.43325462341305,0.417148144337939,0.8252121030107366,0.9358059914407989,0.9718447330880696,0.9985734664764622,0.0001995228924334079,0.0004988072310835197,44.07892278581858
9,0.2290631691643049,0.21113054761676328,0.0015256892586528333,0.0010986624647078937,0.0015444401668180654,0.0010851674807916367,4.460663199530727e-06,0.004784081263698182,8.309333340811945,2.512894630432129,29.0037254333496,0.4090882856428073,0.8400780839402358,0.9426383362114272,0.9742473158645544,0.9985734664764622,0.00019915236137470413,0.0004978809034367603,44.77766991406679
10,0.23308428825219699,0.21451472506923322,0.0016321604630935031,0.0010371682360625241,0.0014231725391212475,0.0010758872606935958,1.4078816608293975e-05,0.001736256002334568,8.526746935992946,2.4522221088409424,28.956632423400862,0.40778942575908256,0.8421803438696599,0.9442150311584954,0.9707936031233576,0.9985734664764622,0.00019867667412905274,0.0004966916853226318,43.59846993163228
