epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
22,3712.95,0.35072,0.12898,0.00345,0.11404,0.00834,0,0.00354,0.99488,0.99133,0.99488,0.88988,0.98883,0.98535,0.98522,0.97848,0.36768,0.97245,0.43836,0.15038,0.00084,0.13135,0.00954,0,0.0038,0.00039605,0.00039605,0.00039605
23,3763.88,0.33005,0.10587,0.00299,0.10535,0.00787,0,0.00349,0.99852,0.99787,0.995,0.90108,0.99502,0.99438,0.99313,0.98531,0.36129,0.97597,0.40991,0.13442,0.0006,0.12519,0.00884,0,0.00376,0.0003911,0.0003911,0.0003911
24,3814.96,0.32462,0.10317,0.0033,0.10816,0.00774,0,0.00349,0.99585,0.98768,0.99473,0.92209,0.98573,0.97936,0.99286,0.98849,0.37538,0.97267,0.35835,0.13016,0.00055,0.12029,0.00775,0,0.00371,0.00038615,0.00038615,0.00038615
25,3866.3,0.31177,0.09373,0.00306,0.10151,0.00746,0,0.00335,0.99878,0.99681,0.995,0.91705,0.98929,0.98732,0.98822,0.98437,0.35222,0.97778,0.37027,0.15001,0.0005,0.11294,0.00807,0,0.00359,0.0003812,0.0003812,0.0003812
26,3918.07,0.30766,0.10076,0.00378,0.09861,0.00742,0,0.00328,0.99769,0.998,0.995,0.91173,0.99169,0.99201,0.98738,0.98099,0.36726,0.97627,0.35861,0.15249,0.00069,0.11091,0.00777,0,0.0037,0.00037625,0.00037625,0.00037625
27,3968.23,0.32063,0.13197,0.00303,0.1094,0.00773,0,0.00342,0.99777,0.9921,0.99497,0.90811,0.98995,0.98407,0.98474,0.97929,0.36506,0.97162,0.39109,0.15542,0.00044,0.12177,0.00838,0,0.00372,0.0003713,0.0003713,0.0003713
28,4019.21,0.30521,0.09693,0.00364,0.1037,0.00718,0,0.00329,0.99854,0.99005,0.99495,0.92152,0.99147,0.98306,0.98519,0.98095,0.35952,0.9765,0.36733,0.14331,0.00064,0.1169,0.00793,0,0.00356,0.00036635,0.00036635,0.00036635
29,4070.29,0.30321,0.10115,0.0047,0.09541,0.00728,0,0.00327,0.99996,0.99874,0.995,0.93242,0.99613,0.99416,0.9945,0.99204,0.33533,0.97988,0.325,0.1055,0.0005,0.09976,0.00709,0,0.00349,0.0003614,0.0003614,0.0003614
30,4123.17,0.28934,0.07947,0.00187,0.09174,0.00682,0,0.00334,0.99625,0.99816,0.995,0.93233,0.98529,0.98717,0.9907,0.98158,0.36736,0.97477,0.34786,0.15676,0.00065,0.11021,0.00747,0,0.00367,0.00035645,0.00035645,0.00035645
31,4172.7,0.30186,0.11698,0.00469,0.09828,0.00723,0,0.00345,0.99295,0.99563,0.9949,0.91474,0.97574,0.9751,0.97355,0.96973,0.39418,0.96877,0.36059,0.19247,0.00045,0.12032,0.00785,0,0.00364,0.0003515,0.0003515,0.0003515
