epoch,train_total_loss,train_heatmap_loss,train_coordinate_loss,train_structure_loss,train_adjacent_loss,train_pair_loss,train_order_loss,train_class_loss,mean_error_px,median_error_px,p95_error_px,mean_error_image_diag_pct,pck_0.5pct_image_diag,pck_1pct_image_diag,pck_2pct_image_diag,class_accuracy,backbone_lr,head_lr,seconds
1,6.10362004562163,5.016905489102216,0.09780562983852037,0.034977752348067055,0.04930730352939015,0.02903065326767908,0.008074522621824707,0.3870271494690801,143.01753581982499,78.66404724121094,566.01953125,9.536749311702696,0.0021966435286881643,0.011246814866883403,0.05974870398031808,0.8363939899833055,4.6e-05,0.00013799999999999997,33.4488024674356
2,2.389358631322082,1.944276168312825,0.03748627863562023,0.020534858258414855,0.02790483665770628,0.017578805744333167,0.006543990390204733,0.2914996079995599,46.057211608528654,12.70842456817627,226.30532836914062,2.3947347038419204,0.17362270450751252,0.3987347333274756,0.6568842808189087,0.8363939899833055,6.400000000000001e-05,0.00019199999999999998,31.99289730936289
3,0.7814108905657916,0.666825103088164,0.00872426723051344,0.004807808520075616,0.007217240378811536,0.003644419914360722,0.0005293115534353182,0.1772749323240468,19.615602969419214,4.295397758483887,101.45606231689453,0.9834447086434855,0.5510060627361392,0.7705825498638081,0.8802389948159213,0.9833055091819699,8.2e-05,0.00024599999999999996,32.31128729879856
4,0.4743846186869581,0.4201499259387943,0.004440336119265519,0.002805998363584595,0.004039777209982276,0.0024614466852705243,0.00023837844327971025,0.04219334478109655,13.195661414433793,3.006561040878296,65.39543151855469,0.6610702293442501,0.7043317810385731,0.8565152447060891,0.9317283191283718,0.998330550918197,0.0001,0.0003,32.29001695103943
5,0.3813749698685928,0.342784712012385,0.0032552313174344072,0.0022461050268734843,0.003222496632460347,0.002032200809122181,0.00012598235052407712,0.015457324578728475,10.683009486957074,2.6231327056884766,49.870845794677734,0.549286241435429,0.7584570775854494,0.8918372726473948,0.9485985414286969,0.998330550918197,0.0001,0.0003,32.16930375248194
6,0.3539520577645638,0.3206713831340763,0.002893886312475087,0.0018467107856593712,0.002618727792369228,0.0017538804242807164,5.5913676091299304e-05,0.006483907430944309,8.831551688582925,2.3984391689300537,37.29783248901367,0.46253106370739994,0.8029171426060979,0.9181091292505053,0.9649415692821369,0.998330550918197,9.987897544398704e-05,0.0002996369263319611,31.88970685005188
7,0.2868509913834048,0.2614435597624577,0.00219006208263495,0.0014196148398004367,0.00200898447041203,0.0013792048877393696,6.805608125073953e-06,0.006675825572349656,8.824368206085207,2.3753273487091064,37.49940490722656,0.45832851621007265,0.8111765222739654,0.9227660135313241,0.9644143748352517,0.998330550918197,9.951651848934431e-05,0.0002985495554680329,32.18485375866294
8,0.21857856906635661,0.20153112604584492,0.0014484731150909104,0.0011116236179384968,0.001544112242056503,0.0011265831228844086,7.962783008262935e-06,0.0033946708894111743,7.888002617612472,2.240736961364746,33.2845573425293,0.41984249894041914,0.8274316843862578,0.9320797820929619,0.9726737545031192,0.998330550918197,9.891447613363009e-05,0.0002967434284008902,32.03325245529413
9,0.21510312024136663,0.19918861114223238,0.0013532674089270893,0.001090600286466135,0.0014770558828645398,0.001167013327932169,9.84168777071779e-06,0.0020063662193190884,7.044072725122645,2.185045003890991,27.42777442932129,0.38453458777429755,0.8465864159564186,0.9441173886301731,0.9772427730427906,0.998330550918197,9.807591624668864e-05,0.00029422774874006587,32.12648105248809
10,0.19936961376331222,0.18386852321490435,0.0013052445121476768,0.0009676262729761886,0.0013328292800612012,0.0009858933782441095,2.7218000596662997e-05,0.00513389979449796,7.748089223986859,2.082516670227051,31.435653686523438,0.4018471089617898,0.8431596520516651,0.9390211756436165,0.9726737545031192,0.998330550918197,9.70051119374887e-05,0.00029101533581246604,31.89256347902119
